,dIntervalStart,nEnteredAcd,Start
113,3/10/2022 13:15,1,2022-03-10 13:15:00
114,3/10/2022 13:30,1,2022-03-10 13:30:00
115,3/10/2022 13:45,1,2022-03-10 13:45:00
116,3/10/2022 14:00,1,2022-03-10 14:00:00
117,3/10/2022 14:15,1,2022-03-10 14:15:00
118,3/10/2022 14:30,1,2022-03-10 14:30:00
119,3/10/2022 14:45,1,2022-03-10 14:45:00
120,3/10/2022 15:00,1,2022-03-10 15:00:00
121,3/10/2022 15:15,1,2022-03-10 15:15:00
122,3/10/2022 15:30,1,2022-03-10 15:30:00
123,3/10/2022 15:45,1,2022-03-10 15:45:00
124,3/10/2022 16:00,1,2022-03-10 16:00:00
125,3/10/2022 16:15,1,2022-03-10 16:15:00
126,3/10/2022 16:30,1,2022-03-10 16:30:00
127,3/10/2022 16:45,1,2022-03-10 16:45:00
128,3/10/2022 17:00,1,2022-03-10 17:00:00
129,3/10/2022 17:15,1,2022-03-10 17:15:00
130,3/10/2022 17:30,1,2022-03-10 17:30:00
131,3/10/2022 17:45,1,2022-03-10 17:45:00
132,3/10/2022 18:00,1,2022-03-10 18:00:00
133,3/10/2022 18:15,1,2022-03-10 18:15:00
134,3/10/2022 18:30,1,2022-03-10 18:30:00
135,3/10/2022 18:45,1,2022-03-10 18:45:00
136,3/10/2022 19:00,1,2022-03-10 19:00:00
137,3/10/2022 19:15,1,2022-03-10 19:15:00
138,3/10/2022 19:30,1,2022-03-10 19:30:00
139,3/10/2022 19:45,1,2022-03-10 19:45:00
140,3/10/2022 1:00,1,2022-03-10 01:00:00
141,3/10/2022 1:15,1,2022-03-10 01:15:00
142,3/10/2022 1:30,1,2022-03-10 01:30:00
143,3/10/2022 1:45,1,2022-03-10 01:45:00
144,3/10/2022 20:00,1,2022-03-10 20:00:00
145,3/10/2022 20:15,1,2022-03-10 20:15:00
146,3/10/2022 20:30,1,2022-03-10 20:30:00
147,3/10/2022 20:45,1,2022-03-10 20:45:00
148,3/10/2022 21:00,1,2022-03-10 21:00:00
149,3/10/2022 21:15,1,2022-03-10 21:15:00
150,3/10/2022 21:30,1,2022-03-10 21:30:00
151,3/10/2022 21:45,1,2022-03-10 21:45:00
152,3/10/2022 22:00,1,2022-03-10 22:00:00
153,3/10/2022 22:15,1,2022-03-10 22:15:00
154,3/10/2022 22:30,1,2022-03-10 22:30:00
155,3/10/2022 22:45,1,2022-03-10 22:45:00
156,3/10/2022 23:00,1,2022-03-10 23:00:00
157,3/10/2022 23:15,1,2022-03-10 23:15:00
158,3/10/2022 23:30,1,2022-03-10 23:30:00
159,3/10/2022 23:45,1,2022-03-10 23:45:00
160,3/10/2022 2:00,1,2022-03-10 02:00:00
161,3/10/2022 2:15,1,2022-03-10 02:15:00
162,3/10/2022 2:30,1,2022-03-10 02:30:00
163,3/10/2022 2:45,1,2022-03-10 02:45:00
164,3/10/2022 3:00,1,2022-03-10 03:00:00
165,3/10/2022 3:15,1,2022-03-10 03:15:00
166,3/10/2022 3:30,1,2022-03-10 03:30:00
167,3/10/2022 3:45,1,2022-03-10 03:45:00
168,3/10/2022 4:00,1,2022-03-10 04:00:00
169,3/10/2022 4:15,1,2022-03-10 04:15:00
170,3/10/2022 4:30,1,2022-03-10 04:30:00
171,3/10/2022 4:45,1,2022-03-10 04:45:00
172,3/10/2022 5:00,1,2022-03-10 05:00:00
173,3/10/2022 5:15,1,2022-03-10 05:15:00
174,3/10/2022 5:30,1,2022-03-10 05:30:00
175,3/10/2022 5:45,1,2022-03-10 05:45:00
176,3/10/2022 6:00,1,2022-03-10 06:00:00
177,3/10/2022 6:15,1,2022-03-10 06:15:00
178,3/10/2022 6:30,1,2022-03-10 06:30:00
179,3/10/2022 6:45,1,2022-03-10 06:45:00
180,3/10/2022 7:00,1,2022-03-10 07:00:00
181,3/10/2022 7:15,1,2022-03-10 07:15:00
182,3/10/2022 7:30,1,2022-03-10 07:30:00
183,3/10/2022 7:45,1,2022-03-10 07:45:00
184,3/10/2022 8:00,1,2022-03-10 08:00:00
185,3/10/2022 8:15,1,2022-03-10 08:15:00
186,3/10/2022 8:30,1,2022-03-10 08:30:00
187,3/10/2022 8:45,1,2022-03-10 08:45:00
188,3/10/2022 9:00,1,2022-03-10 09:00:00
189,3/10/2022 9:15,1,2022-03-10 09:15:00
190,3/10/2022 9:30,1,2022-03-10 09:30:00
191,3/10/2022 9:45,1,2022-03-10 09:45:00
192,3/11/2022 0:00,1,2022-03-11 00:00:00
193,3/11/2022 0:15,1,2022-03-11 00:15:00
194,3/11/2022 0:30,1,2022-03-11 00:30:00
195,3/11/2022 0:45,1,2022-03-11 00:45:00
196,3/11/2022 10:00,1,2022-03-11 10:00:00
197,3/11/2022 10:15,1,2022-03-11 10:15:00
198,3/11/2022 10:30,1,2022-03-11 10:30:00
199,3/11/2022 10:45,1,2022-03-11 10:45:00
200,3/11/2022 11:00,1,2022-03-11 11:00:00
201,3/11/2022 11:15,1,2022-03-11 11:15:00
202,3/11/2022 11:30,1,2022-03-11 11:30:00
203,3/11/2022 11:45,1,2022-03-11 11:45:00
204,3/11/2022 12:00,1,2022-03-11 12:00:00
205,3/11/2022 12:15,1,2022-03-11 12:15:00
206,3/11/2022 12:30,1,2022-03-11 12:30:00
207,3/11/2022 12:45,1,2022-03-11 12:45:00
208,3/11/2022 13:00,1,2022-03-11 13:00:00
209,3/11/2022 13:15,1,2022-03-11 13:15:00
210,3/11/2022 13:30,1,2022-03-11 13:30:00
211,3/11/2022 13:45,1,2022-03-11 13:45:00
212,3/11/2022 14:00,1,2022-03-11 14:00:00
213,3/11/2022 14:15,1,2022-03-11 14:15:00
214,3/11/2022 14:30,1,2022-03-11 14:30:00
215,3/11/2022 14:45,1,2022-03-11 14:45:00
216,3/11/2022 15:00,1,2022-03-11 15:00:00
217,3/11/2022 15:15,1,2022-03-11 15:15:00
218,3/11/2022 15:30,1,2022-03-11 15:30:00
219,3/11/2022 15:45,1,2022-03-11 15:45:00
220,3/11/2022 16:00,1,2022-03-11 16:00:00
221,3/11/2022 16:15,1,2022-03-11 16:15:00
222,3/11/2022 16:30,1,2022-03-11 16:30:00
223,3/11/2022 16:45,1,2022-03-11 16:45:00
224,3/11/2022 17:00,1,2022-03-11 17:00:00
225,3/11/2022 17:15,1,2022-03-11 17:15:00
226,3/11/2022 17:30,1,2022-03-11 17:30:00
227,3/11/2022 17:45,1,2022-03-11 17:45:00
228,3/11/2022 18:00,1,2022-03-11 18:00:00
229,3/11/2022 18:15,1,2022-03-11 18:15:00
230,3/11/2022 18:30,1,2022-03-11 18:30:00
231,3/11/2022 18:45,1,2022-03-11 18:45:00
232,3/11/2022 19:00,1,2022-03-11 19:00:00
233,3/11/2022 19:15,1,2022-03-11 19:15:00
234,3/11/2022 19:30,1,2022-03-11 19:30:00
