"PRI_INDEX","ROUTING_SET","START_TIME","STOP_TIME","HOUR","MINUTE","Req","Sch","Schedule Tally Delta","Net"
61,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,15,0,14.87,17,,2.13
62,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,15,15,14.87,15.67,,0.8
63,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,15,30,15.88,17,,1.12
64,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,15,45,16.88,17,,0.12
65,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,16,0,18,18,,0
66,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,16,15,15.97,17,,1.03
67,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,16,30,12.84,14,,1.16
68,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,16,45,10.77,12.67,,1.9
69,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,17,0,10.77,14,,3.23
70,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,17,15,10.77,13.67,,2.9
71,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,17,30,12.48,14.33,,1.85
72,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,17,45,12.84,12.67,,-0.17
73,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,18,0,10.77,11,,0.23
74,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,18,15,10.77,11.67,,0.9
75,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,18,30,11.67,11.67,,0
76,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,18,45,8.67,10.33,,1.66
77,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,19,0,7.59,9,,1.41
78,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,19,15,10.77,9.33,,-1.44
79,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,19,30,7.59,7,,-0.59
80,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,19,45,6.48,6.67,,0.19
81,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,20,0,9.73,9.67,,-0.06
82,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,20,15,7.59,8,,0.41
83,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,20,30,9,9,,0
84,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,20,45,8.67,9,,0.33
85,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,21,0,6.48,9,,2.52
86,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,21,15,8.67,9,,0.33
87,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,21,30,7.59,9,,1.41
88,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,21,45,6.48,7.67,,1.19
89,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,22,0,5.34,7.33,,1.99
90,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,22,15,4.14,7,,2.86
91,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,22,30,6.48,9,,2.52
92,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,22,45,6.48,10,,3.52
93,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,23,0,4.14,9,,4.86
94,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,23,15,4.14,10,,5.86
95,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,23,30,9.67,9.67,,0
96,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,23,45,2.82,7.67,,4.85
97,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,0,0,4.14,7,,2.86
98,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,0,15,2.82,7,,4.18
99,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,0,30,1.57,6,,4.43
100,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,0,45,2.82,6,,3.18
101,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,1,0,4.14,5,,0.86
102,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,1,15,4.14,7,,2.86
103,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,1,30,2.82,7,,4.18
104,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,1,45,0,8,,8
105,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,2,0,2.82,8,,5.18
106,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,2,15,2.82,7,,4.18
107,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,2,30,4.14,7,,2.86
108,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,2,45,2.82,7,,4.18
109,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,3,0,0,4,,4
110,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,3,15,0,5,,5
111,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,3,30,0,7,,7
112,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,3,45,0,7,,7
113,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,4,0,0,8,,8
114,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,4,15,0,8,,8
115,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,4,30,0,8,,8
116,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,4,45,0,8,,8
117,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,5,0,0,6.67,,6.67
118,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,5,15,0,6,,6
119,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,5,30,0,7,,7
120,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,5,45,0,6,,6
121,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,6,0,2.57,5,,2.43
122,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,6,15,0,5,,5
