"PRI_INDEX","ROUTING_SET","START_TIME","STOP_TIME","HOUR","MINUTE","Req","Sch","Schedule Tally Delta","Net"
62,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,15,15,2.1,5,,2.9
63,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,15,30,3.67,6,,2.33
64,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,15,45,1.83,5,,3.17
65,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,16,0,1.81,4,,2.19
66,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,16,15,3.55,4,,0.45
67,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,16,30,1.88,3,,1.12
68,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,16,45,5.05,4,,-1.05
69,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,17,0,3.99,4,,0.01
70,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,17,15,1.98,3,,1.02
71,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,17,30,2.13,4,,1.87
72,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,17,45,0,2,,2
73,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,18,0,3.66,3.67,,0.01
74,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,18,15,1.6,3,,1.4
75,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,18,30,0,3,,3
76,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,18,45,0,3,,3
77,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,19,0,2.79,3,,0.21
78,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,19,15,1.66,2,,0.34
79,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,19,30,0,2,,2
80,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,19,45,1.83,2.67,,0.84
81,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,20,0,0,2,,2
82,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,20,15,1.14,2,,0.86
83,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,20,30,1.11,2,,0.89
84,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,20,45,0,1.67,,1.67
85,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,21,0,1.3,3,,1.7
86,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,21,15,1.85,3,,1.15
87,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,21,30,1.58,3,,1.42
88,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,21,45,0,2,,2
89,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,22,0,0,3,,3
90,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,22,15,0.53,3,,2.47
91,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,22,30,0,1,,1
92,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,22,45,0,3,,3
93,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,23,0,0.45,4,,3.55
94,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,23,15,0,4,,4
95,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,23,30,4,4,,0
96,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,23,45,1.62,3.67,,2.05
