"PRI_INDEX","ROUTING_SET","START_TIME","STOP_TIME","HOUR","MINUTE","Req","Sch","Schedule Tally Delta","Net"
61,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,15,0,7.4,6,,-1.4
62,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,15,15,6,6,,0
63,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,15,30,7.4,9,,1.6
64,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,15,45,8.7,9,,0.3
65,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,16,0,5.78,8,,2.22
66,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,16,15,6.56,7.33,,0.77
67,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,16,30,8.7,8,,-0.7
68,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,16,45,4.68,7,,2.32
69,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,17,0,8.7,6,,-2.7
70,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,17,15,7.4,9,,1.6
71,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,17,30,4.41,7,,2.59
72,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,17,45,4.68,7,,2.32
73,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,18,0,4.68,8,,3.32
74,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,18,15,8.7,9,,0.3
75,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,18,30,6.87,8.67,,1.8
76,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,18,45,4.68,7,,2.32
77,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,19,0,7.4,6,,-1.4
78,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,19,15,4.68,5,,0.32
79,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,19,30,4.68,7,,2.32
80,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,19,45,3.15,6,,2.85
81,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,20,0,4.57,4,,-0.57
82,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,20,15,3.08,4,,0.92
83,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,20,30,2.15,4,,1.85
84,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,20,45,4.57,4,,-0.57
85,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,21,0,3.08,4.67,,1.59
86,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,21,15,1.23,2,,0.77
87,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,21,30,3.08,4,,0.92
88,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,21,45,3.08,4,,0.92
89,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,22,0,4.57,3,,-1.57
90,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,22,15,3.08,4,,0.92
91,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,22,30,4.57,3,,-1.57
92,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,22,45,3.08,4,,0.92
93,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,23,0,3.08,4,,0.92
94,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,23,15,3.08,4,,0.92
95,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,23,30,4,4,,0
96,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,23,45,1.47,3.33,,1.86
97,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,0,0,2,2,,0
98,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,0,15,4.57,1.67,,-2.9
99,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,0,30,1.28,1,,-0.28
100,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,0,45,0.63,1,,0.37
101,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,1,0,3.08,1,,-2.08
102,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,1,15,2,1,,-1
103,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,1,30,1,1,,0
104,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,1,45,1,1,,0
105,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,2,0,0,0,,0
106,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,2,15,0,0,,0
107,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,2,30,0,0,,0
108,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,2,45,1.34,0,,-1.34
109,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,3,0,0,1,,1
