MDate,nEnteredAcd,Start,Req,Sch,Net,Period,PeriodM
3/1/2022 13:30,15,3/1/2022 13:30,22.8,22.8,0,3/1/2022 13:30,13:30:00
3/1/2022 13:45,17,3/1/2022 13:45,19.35,20.6,1.25,3/1/2022 13:45,13:45:00
3/1/2022 14:00,19,3/1/2022 14:00,16.73,16.73,0,3/1/2022 14:00,14:00:00
3/1/2022 14:15,20,3/1/2022 14:15,19,19,0,3/1/2022 14:15,14:15:00
3/1/2022 14:30,18,3/1/2022 14:30,20,20,0,3/1/2022 14:30,14:30:00
3/1/2022 14:45,15,3/1/2022 14:45,18,18,0,3/1/2022 14:45,14:45:00
3/1/2022 15:00,15,3/1/2022 15:00,17,17,0,3/1/2022 15:00,15:00:00
3/1/2022 15:15,17,3/1/2022 15:15,17,17,0,3/1/2022 15:15,15:15:00
3/1/2022 15:30,13,3/1/2022 15:30,18.67,18.67,0,3/1/2022 15:30,15:30:00
3/1/2022 15:45,17,3/1/2022 15:45,20.61,21,0.39,3/1/2022 15:45,15:45:00
3/1/2022 16:00,15,3/1/2022 16:00,20,20,0,3/1/2022 16:00,16:00:00
3/1/2022 16:15,18,3/1/2022 16:15,21.67,21.67,0,3/1/2022 16:15,16:15:00
3/1/2022 16:30,15,3/1/2022 16:30,19.67,19.67,0,3/1/2022 16:30,16:30:00
3/1/2022 16:45,17,3/1/2022 16:45,18.33,18.33,0,3/1/2022 16:45,16:45:00
3/1/2022 17:00,25,3/1/2022 17:00,13.23,15.33,2.1,3/1/2022 17:00,17:00:00
3/1/2022 17:15,16,3/1/2022 17:15,12,12,0,3/1/2022 17:15,17:15:00
3/1/2022 17:30,17,3/1/2022 17:30,12,12,0,3/1/2022 17:30,17:30:00
3/1/2022 17:45,19,3/1/2022 17:45,11.33,11.33,0,3/1/2022 17:45,17:45:00
3/1/2022 18:00,14,3/1/2022 18:00,12,12,0,3/1/2022 18:00,18:00:00
3/1/2022 18:15,13,3/1/2022 18:15,14.45,8.87,-5.58,3/1/2022 18:15,18:15:00
3/1/2022 18:30,14,3/1/2022 18:30,12.28,9.13,-3.15,3/1/2022 18:30,18:30:00
3/1/2022 18:45,13,3/1/2022 18:45,9.67,9.67,0,3/1/2022 18:45,18:45:00
3/1/2022 19:00,12,3/1/2022 19:00,9,9,0,3/1/2022 19:00,19:00:00
3/1/2022 19:15,11,3/1/2022 19:15,6.33,6.33,0,3/1/2022 19:15,19:15:00
3/1/2022 19:30,12,3/1/2022 19:30,4.67,4.67,0,3/1/2022 19:30,19:30:00
3/1/2022 19:45,12,3/1/2022 19:45,3.67,3.67,0,3/1/2022 19:45,19:45:00
3/1/2022 20:00,8,3/1/2022 20:00,5,5,0,3/1/2022 20:00,20:00:00
3/1/2022 20:15,9,3/1/2022 20:15,7.65,5,-2.65,3/1/2022 20:15,20:15:00
3/1/2022 20:30,8,3/1/2022 20:30,5,5,0,3/1/2022 20:30,20:30:00
3/1/2022 20:45,9,3/1/2022 20:45,3.65,4.33,0.68,3/1/2022 20:45,20:45:00
3/1/2022 21:00,8,3/1/2022 21:00,2.67,2.67,0,3/1/2022 21:00,21:00:00
3/1/2022 21:15,6,3/1/2022 21:15,2,2,0,3/1/2022 21:15,21:15:00
3/1/2022 21:30,7,3/1/2022 21:30,4.72,1,-3.72,3/1/2022 21:30,21:30:00
3/1/2022 21:45,10,3/1/2022 21:45,1,1,0,3/1/2022 21:45,21:45:00
3/1/2022 22:00,9,3/1/2022 22:00,5.25,2,-3.25,3/1/2022 22:00,22:00:00
3/1/2022 22:15,7,3/1/2022 22:15,5.25,2,-3.25,3/1/2022 22:15,22:15:00
3/1/2022 22:30,9,3/1/2022 22:30,2,2,0,3/1/2022 22:30,22:30:00
3/1/2022 22:45,5,3/1/2022 22:45,1.61,2,0.39,3/1/2022 22:45,22:45:00
3/1/2022 23:00,4,3/1/2022 23:00,2,2,0,3/1/2022 23:00,23:00:00
3/1/2022 23:15,3,3/1/2022 23:15,1.58,1.67,0.09,3/1/2022 23:15,23:15:00
3/1/2022 23:30,3,3/1/2022 23:30,0,0.67,0.67,3/1/2022 23:30,23:30:00
3/1/2022 23:45,6,3/1/2022 23:45,0,0,0,3/1/2022 23:45,23:45:00
3/2/2022 0:00,3,3/2/2022 0:00,1.3,1,-0.3,3/2/2022 0:00,0:00:00
3/2/2022 0:15,3,3/2/2022 0:15,1,1,0,3/2/2022 0:15,0:15:00
3/2/2022 0:30,3,3/2/2022 0:30,0.54,1,0.46,3/2/2022 0:30,0:30:00
3/2/2022 0:45,3,3/2/2022 0:45,0.84,1,0.16,3/2/2022 0:45,0:45:00
3/2/2022 1:00,2,3/2/2022 1:00,2.71,1,-1.71,3/2/2022 1:00,1:00:00
3/2/2022 1:15,4,3/2/2022 1:15,0.94,1,0.06,3/2/2022 1:15,1:15:00
3/2/2022 1:30,3,3/2/2022 1:30,1,1,0,3/2/2022 1:30,1:30:00
3/2/2022 1:45,2,3/2/2022 1:45,0,0,0,3/2/2022 1:45,1:45:00
3/2/2022 2:00,3,3/2/2022 2:00,1,1,0,3/2/2022 2:00,2:00:00
3/2/2022 2:15,2,3/2/2022 2:15,0,1,1,3/2/2022 2:15,2:15:00
3/2/2022 2:30,4,3/2/2022 2:30,0,1,1,3/2/2022 2:30,2:30:00
3/2/2022 2:45,3,3/2/2022 2:45,0,1,1,3/2/2022 2:45,2:45:00
3/2/2022 3:00,2,3/2/2022 3:00,0,1,1,3/2/2022 3:00,3:00:00
3/2/2022 3:15,2,3/2/2022 3:15,0,1,1,3/2/2022 3:15,3:15:00
3/2/2022 3:30,1,3/2/2022 3:30,0,1,1,3/2/2022 3:30,3:30:00
3/2/2022 3:45,,,0.68,1,0.32,3/2/2022 3:45,3:45:00
3/2/2022 4:00,2,3/2/2022 4:00,0,1,1,3/2/2022 4:00,4:00:00
3/2/2022 4:15,4,3/2/2022 4:15,0,0,0,3/2/2022 4:15,4:15:00
3/2/2022 4:30,5,3/2/2022 4:30,0,0,0,3/2/2022 4:30,4:30:00
3/2/2022 4:45,4,3/2/2022 4:45,0.03,0.13,0.1,3/2/2022 4:45,4:45:00
3/2/2022 5:00,3,3/2/2022 5:00,1.07,1,-0.07,3/2/2022 5:00,5:00:00
3/2/2022 5:15,1,3/2/2022 5:15,2.23,2,-0.23,3/2/2022 5:15,5:15:00
3/2/2022 5:30,3,3/2/2022 5:30,0,2,2,3/2/2022 5:30,5:30:00
3/2/2022 5:45,2,3/2/2022 5:45,1.27,4,2.73,3/2/2022 5:45,5:45:00
3/2/2022 6:00,3,3/2/2022 6:00,2.23,4,1.77,3/2/2022 6:00,6:00:00
3/2/2022 6:15,4,3/2/2022 6:15,2.23,3.67,1.44,3/2/2022 6:15,6:15:00
3/2/2022 6:30,6,3/2/2022 6:30,2.96,3,0.04,3/2/2022 6:30,6:30:00
3/2/2022 6:45,4,3/2/2022 6:45,3.22,3,-0.22,3/2/2022 6:45,6:45:00
3/2/2022 7:00,6,3/2/2022 7:00,3.22,4,0.78,3/2/2022 7:00,7:00:00
3/2/2022 7:15,7,3/2/2022 7:15,4.12,5,0.88,3/2/2022 7:15,7:15:00
3/2/2022 7:30,9,3/2/2022 7:30,4.37,5,0.63,3/2/2022 7:30,7:30:00
3/2/2022 7:45,12,3/2/2022 7:45,2.55,3.13,0.58,3/2/2022 7:45,7:45:00
3/2/2022 8:00,12,3/2/2022 8:00,7.69,6.53,-1.16,3/2/2022 8:00,8:00:00
3/2/2022 8:15,11,3/2/2022 8:15,5.76,7,1.24,3/2/2022 8:15,8:15:00
