DisplaycName,dIntervalStart,nEnteredAcd,nAnsweredAcd,nAbandonedAcd,nFlowOutAcd,nHoldAcd,tHoldAcd,tTalkAcd,tAcw
CC Risk 1,3/1/2022 0:00,0,0,0,0,0,0,0,62
CC Risk 1,3/1/2022 0:00,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 0:00,0,0,0,0,0,0,115,6
CC Risk 1,3/1/2022 0:00,1,1,0,0,1,73,469,0
CC Risk 1,3/1/2022 0:00,0,0,0,0,0,0,141,0
CC Risk 1,3/1/2022 0:00,1,1,0,0,0,0,108,0
CC Risk 1,3/1/2022 0:00,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 0:15,4,4,0,0,0,0,1364,6
CC Risk 1,3/1/2022 0:15,0,0,0,0,0,0,751,6
CC Risk 1,3/1/2022 0:15,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 0:15,0,0,0,0,0,0,764,43
CC Risk 1,3/1/2022 0:15,1,1,0,0,0,0,755,0
CC Risk 1,3/1/2022 0:30,3,3,0,0,1,24,2328,106
CC Risk 1,3/1/2022 0:30,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 0:30,1,1,0,0,0,0,57,28
CC Risk 1,3/1/2022 0:30,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 0:30,1,1,0,0,0,0,1963,118
CC Risk 1,3/1/2022 0:45,2,2,0,0,0,0,642,0
CC Risk 1,3/1/2022 0:45,1,1,0,0,0,0,529,0
CC Risk 1,3/1/2022 0:45,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 0:45,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 0:45,1,1,0,0,1,20,806,15
CC Risk 1,3/1/2022 1:00,3,3,0,0,1,18,2033,14
CC Risk 1,3/1/2022 1:00,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 1:00,1,1,0,0,0,0,1197,41
CC Risk 1,3/1/2022 1:00,0,0,0,0,0,0,197,59
CC Risk 1,3/1/2022 1:15,1,1,0,0,1,108,395,6
CC Risk 1,3/1/2022 1:15,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 1:15,2,2,0,0,1,36,2270,246
CC Risk 1,3/1/2022 1:30,0,0,0,0,0,0,1071,6
CC Risk 1,3/1/2022 1:30,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 1:30,1,1,0,0,0,0,158,0
CC Risk 1,3/1/2022 1:45,0,0,0,0,0,0,362,6
CC Risk 1,3/1/2022 1:45,0,0,0,0,0,0,900,0
CC Risk 1,3/1/2022 1:45,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 1:45,1,1,0,0,0,0,719,0
CC Risk 1,3/1/2022 2:00,0,0,0,0,0,0,76,55
CC Risk 1,3/1/2022 2:00,0,0,0,0,0,396,900,0
CC Risk 1,3/1/2022 2:15,1,1,0,0,0,191,1063,31
CC Risk 1,3/1/2022 2:15,2,2,0,0,0,0,132,6
CC Risk 1,3/1/2022 2:15,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 2:30,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 2:30,0,0,0,0,1,45,600,159
CC Risk 1,3/1/2022 2:30,1,1,0,0,0,0,1161,103
CC Risk 1,3/1/2022 2:45,2,1,0,0,1,17,745,6
CC Risk 1,3/1/2022 2:45,1,1,0,0,0,0,410,0
CC Risk 1,3/1/2022 2:45,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 3:00,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 3:00,0,0,0,0,0,0,536,6
CC Risk 1,3/1/2022 3:00,2,3,0,0,1,16,1312,232
CC Risk 1,3/1/2022 3:15,1,1,0,0,0,27,734,66
CC Risk 1,3/1/2022 3:15,2,2,0,0,1,88,678,9
CC Risk 1,3/1/2022 3:15,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 3:30,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 3:30,1,1,0,0,1,52,732,146
CC Risk 1,3/1/2022 3:30,1,1,0,0,0,0,964,48
CC Risk 1,3/1/2022 3:30,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 3:30,1,1,0,0,1,22,687,0
CC Risk 1,3/1/2022 3:45,0,0,0,0,0,0,445,6
CC Risk 1,3/1/2022 3:45,0,0,0,0,1,316,843,56
CC Risk 1,3/1/2022 3:45,1,1,0,0,0,105,541,6
CC Risk 1,3/1/2022 3:45,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 4:00,0,0,0,0,1,288,604,84
CC Risk 1,3/1/2022 4:00,0,0,0,0,0,0,0,35
CC Risk 1,3/1/2022 4:15,1,1,0,0,1,197,550,0
CC Risk 1,3/1/2022 4:15,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 4:30,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 4:30,2,2,0,0,0,0,1441,6
CC Risk 1,3/1/2022 4:30,1,1,0,0,0,0,26,0
CC Risk 1,3/1/2022 4:30,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 4:45,0,0,0,0,0,0,355,43
CC Risk 1,3/1/2022 4:45,0,0,0,0,1,65,900,0
CC Risk 1,3/1/2022 5:00,1,1,0,0,0,0,124,0
CC Risk 1,3/1/2022 5:00,0,0,0,0,0,47,115,6
CC Risk 1,3/1/2022 5:00,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 5:00,2,2,0,0,0,0,378,12
CC Risk 1,3/1/2022 5:15,2,2,0,0,0,0,339,0
CC Risk 1,3/1/2022 5:15,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 5:15,1,1,0,0,0,0,469,6
CC Risk 1,3/1/2022 5:30,0,0,0,0,0,0,171,82
CC Risk 1,3/1/2022 5:30,0,0,0,0,1,302,452,0
CC Risk 1,3/1/2022 5:45,3,3,0,0,0,0,690,0
CC Risk 1,3/1/2022 5:45,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 6:00,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 6:00,1,1,0,0,1,16,2218,448
CC Risk 1,3/1/2022 6:15,2,2,0,0,1,22,990,44
CC Risk 1,3/1/2022 6:15,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 6:15,1,1,0,0,0,0,458,0
CC Risk 1,3/1/2022 6:15,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 6:30,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 6:30,1,1,0,0,0,0,13,0
CC Risk 1,3/1/2022 6:30,0,0,0,0,0,0,513,13
CC Risk 1,3/1/2022 6:30,0,0,0,0,0,0,1096,6
CC Risk 1,3/1/2022 6:45,2,2,0,0,1,156,2045,51
CC Risk 1,3/1/2022 6:45,3,3,0,0,0,0,1876,5
CC Risk 1,3/1/2022 6:45,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 7:00,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 7:00,2,2,0,0,1,278,1972,72
CC Risk 1,3/1/2022 7:00,0,0,0,0,0,0,199,333
CC Risk 1,3/1/2022 7:15,1,1,0,0,1,34,616,0
CC Risk 1,3/1/2022 7:15,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 7:15,2,2,0,0,0,0,632,6
CC Risk 1,3/1/2022 7:15,2,2,0,0,0,271,1512,12
CC Risk 1,3/1/2022 7:15,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 7:30,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 7:30,0,0,0,0,0,0,1438,168
CC Risk 1,3/1/2022 7:30,0,0,0,0,0,0,900,0
CC Risk 1,3/1/2022 7:30,3,3,0,0,1,24,1684,0
CC Risk 1,3/1/2022 7:30,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 7:30,1,1,0,0,0,0,644,0
CC Risk 1,3/1/2022 7:45,0,0,0,0,0,0,282,93
CC Risk 1,3/1/2022 7:45,5,5,0,0,1,64,3733,47
CC Risk 1,3/1/2022 7:45,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 7:45,2,2,0,0,0,0,882,15
CC Risk 1,3/1/2022 7:45,7,7,0,0,0,0,1705,165
CC Risk 1,3/1/2022 7:45,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 8:00,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 8:00,7,7,0,0,2,115,4321,399
CC Risk 1,3/1/2022 8:00,0,0,0,0,0,0,749,175
CC Risk 1,3/1/2022 8:00,1,1,0,0,0,0,600,0
CC Risk 1,3/1/2022 8:00,5,5,0,0,0,93,7109,190
CC Risk 1,3/1/2022 8:00,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 8:15,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 8:15,10,10,0,0,4,317,7685,779
CC Risk 1,3/1/2022 8:15,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 8:15,0,0,0,0,0,0,900,0
CC Risk 1,3/1/2022 8:15,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 8:15,3,3,0,0,0,0,961,127
CC Risk 1,3/1/2022 8:15,9,9,0,0,2,498,6288,486
CC Risk 1,3/1/2022 8:15,3,3,0,0,0,0,836,0
CC Risk 1,3/1/2022 8:15,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 8:15,1,1,0,0,0,0,11,0
CC Risk 1,3/1/2022 8:30,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 8:30,0,0,0,0,0,0,900,0
CC Risk 1,3/1/2022 8:30,1,1,0,0,0,0,581,0
CC Risk 1,3/1/2022 8:30,13,13,0,0,2,318,6393,766
CC Risk 1,3/1/2022 8:30,1,1,0,0,0,0,2616,70
CC Risk 1,3/1/2022 8:30,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 8:30,0,0,0,0,0,0,180,13
CC Risk 1,3/1/2022 8:30,6,6,0,0,1,484,9023,536
CC Risk 1,3/1/2022 8:30,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 8:30,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 8:30,5,5,0,0,0,0,1276,108
CC Risk 1,3/1/2022 8:45,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 8:45,3,3,0,0,0,0,2219,63
CC Risk 1,3/1/2022 8:45,6,6,0,0,1,278,8638,2480
CC Risk 1,3/1/2022 8:45,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 8:45,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 8:45,3,3,0,0,0,0,697,6
CC Risk 1,3/1/2022 8:45,13,13,0,0,1,71,7467,995
CC Risk 1,3/1/2022 8:45,1,1,0,0,0,0,2392,87
CC Risk 1,3/1/2022 8:45,0,0,0,0,0,0,231,6
CC Risk 1,3/1/2022 8:45,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 8:45,0,0,0,0,0,0,892,3
CC Risk 1,3/1/2022 9:00,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 9:00,1,1,0,0,1,34,40,0
CC Risk 1,3/1/2022 9:00,8,8,0,0,2,305,6680,1152
CC Risk 1,3/1/2022 9:00,0,0,0,0,0,0,415,187
CC Risk 1,3/1/2022 9:00,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 9:00,1,1,0,0,0,0,1530,45
CC Risk 1,3/1/2022 9:00,4,4,0,0,0,0,4868,569
CC Risk 1,3/1/2022 9:00,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 9:00,3,3,0,0,1,50,3404,189
CC Risk 1,3/1/2022 9:15,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 9:15,2,2,0,0,0,0,559,0
CC Risk 1,3/1/2022 9:15,4,4,0,0,3,373,3290,637
CC Risk 1,3/1/2022 9:15,9,9,0,0,2,340,4803,625
CC Risk 1,3/1/2022 9:15,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 9:15,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 9:15,2,2,0,0,1,184,1500,125
CC Risk 1,3/1/2022 9:15,0,0,0,0,0,0,0,55
CC Risk 1,3/1/2022 9:15,17,17,0,0,2,212,3980,761
CC Risk 1,3/1/2022 9:15,1,1,0,0,0,4,1642,0
CC Risk 1,3/1/2022 9:15,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 9:30,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 9:30,0,0,0,0,0,0,990,43
CC Risk 1,3/1/2022 9:30,15,15,0,0,4,465,13094,217
CC Risk 1,3/1/2022 9:30,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 9:30,2,2,0,0,0,24,2542,0
CC Risk 1,3/1/2022 9:30,1,1,0,0,0,0,315,0
CC Risk 1,3/1/2022 9:30,18,18,0,0,5,430,9088,674
CC Risk 1,3/1/2022 9:30,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 9:30,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 9:30,2,2,0,0,1,188,1998,6
CC Risk 1,3/1/2022 9:30,7,7,0,0,0,144,6038,262
CC Risk 1,3/1/2022 9:45,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 9:45,0,0,0,0,0,0,1278,234
CC Risk 1,3/1/2022 9:45,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 9:45,5,5,0,0,3,346,8159,338
CC Risk 1,3/1/2022 9:45,6,6,0,0,4,529,9113,1545
CC Risk 1,3/1/2022 9:45,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 9:45,2,2,0,0,0,0,300,116
CC Risk 1,3/1/2022 9:45,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 9:45,2,2,0,0,0,65,3761,32
CC Risk 1,3/1/2022 9:45,0,0,0,0,0,0,900,0
CC Risk 1,3/1/2022 9:45,1,1,0,0,0,0,188,0
CC Risk 1,3/1/2022 9:45,15,15,0,0,2,226,16292,812
CC Risk 1,3/1/2022 9:45,1,1,0,0,0,0,466,0
CC Risk 1,3/1/2022 9:45,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 9:45,1,1,0,0,0,0,748,79
CC Risk 1,3/1/2022 9:45,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 10:00,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 10:00,1,1,0,0,0,0,291,258
CC Risk 1,3/1/2022 10:00,1,1,0,0,0,0,2,0
CC Risk 1,3/1/2022 10:00,16,16,0,0,2,272,16913,1605
CC Risk 1,3/1/2022 10:00,5,5,0,0,1,101,2582,197
CC Risk 1,3/1/2022 10:00,0,0,0,0,0,0,900,0
CC Risk 1,3/1/2022 10:00,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 10:00,1,1,0,0,2,602,2677,607
CC Risk 1,3/1/2022 10:00,0,0,0,0,0,0,331,125
CC Risk 1,3/1/2022 10:00,11,11,0,0,3,646,5482,733
CC Risk 1,3/1/2022 10:00,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 10:00,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 10:00,0,0,0,0,0,0,142,336
CC Risk 1,3/1/2022 10:00,5,5,0,0,2,328,6686,892
CC Risk 1,3/1/2022 10:15,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 10:15,1,1,0,0,0,0,346,0
CC Risk 1,3/1/2022 10:15,4,4,0,0,0,276,4125,271
CC Risk 1,3/1/2022 10:15,12,12,0,0,2,168,11359,701
CC Risk 1,3/1/2022 10:15,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 10:15,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 10:15,3,3,0,0,0,0,1019,164
CC Risk 1,3/1/2022 10:15,0,0,0,0,0,0,719,6
CC Risk 1,3/1/2022 10:15,0,0,0,0,1,57,855,6
CC Risk 1,3/1/2022 10:15,21,21,0,0,3,1005,10645,1749
CC Risk 1,3/1/2022 10:15,0,0,0,0,0,0,1979,142
CC Risk 1,3/1/2022 10:15,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 10:30,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 10:30,1,1,0,0,0,0,771,0
CC Risk 1,3/1/2022 10:30,1,1,0,0,0,0,129,104
CC Risk 1,3/1/2022 10:30,2,2,0,0,0,0,247,59
CC Risk 1,3/1/2022 10:30,17,17,0,0,5,880,13547,1501
CC Risk 1,3/1/2022 10:30,1,1,0,0,0,0,126,0
CC Risk 1,3/1/2022 10:30,1,1,0,0,1,25,57,50
CC Risk 1,3/1/2022 10:30,1,1,0,0,0,0,176,0
CC Risk 1,3/1/2022 10:30,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 10:30,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 10:30,3,3,0,0,1,239,1795,96
CC Risk 1,3/1/2022 10:30,1,1,0,0,0,0,710,0
CC Risk 1,3/1/2022 10:30,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 10:30,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 10:30,11,11,0,0,4,245,13266,880
CC Risk 1,3/1/2022 10:30,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 10:30,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 10:30,0,0,0,0,0,0,900,0
CC Risk 1,3/1/2022 10:30,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 10:30,9,9,0,0,0,204,4986,417
CC Risk 1,3/1/2022 10:45,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 10:45,0,0,0,0,0,0,159,73
CC Risk 1,3/1/2022 10:45,7,7,0,0,0,47,8403,459
CC Risk 1,3/1/2022 10:45,12,12,0,0,5,779,14131,1409
CC Risk 1,3/1/2022 10:45,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 10:45,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 10:45,3,3,0,0,0,0,2811,176
CC Risk 1,3/1/2022 10:45,0,0,0,0,0,0,900,0
CC Risk 1,3/1/2022 10:45,0,0,0,0,0,0,900,0
CC Risk 1,3/1/2022 10:45,23,23,0,0,4,817,17693,1538
CC Risk 1,3/1/2022 10:45,2,2,0,0,0,0,1563,12
CC Risk 1,3/1/2022 10:45,1,1,0,0,0,0,29,123
CC Risk 1,3/1/2022 10:45,0,0,0,0,1,75,808,91
CC Risk 1,3/1/2022 10:45,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 11:00,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 11:00,0,0,0,0,0,0,0,635
CC Risk 1,3/1/2022 11:00,0,0,0,0,0,0,0,9
CC Risk 1,3/1/2022 11:00,18,18,0,0,4,1037,18944,1451
CC Risk 1,3/1/2022 11:00,1,1,0,0,0,0,942,202
CC Risk 1,3/1/2022 11:00,0,0,0,0,0,0,101,129
CC Risk 1,3/1/2022 11:00,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 11:00,2,2,0,0,2,329,2701,154
CC Risk 1,3/1/2022 11:00,0,0,0,0,0,0,687,30
CC Risk 1,3/1/2022 11:00,12,12,0,0,1,504,8650,1860
CC Risk 1,3/1/2022 11:00,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 11:00,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 11:00,1,1,0,0,0,0,324,0
CC Risk 1,3/1/2022 11:00,8,8,0,0,2,118,8306,672
CC Risk 1,3/1/2022 11:15,0,0,0,0,0,0,900,0
CC Risk 1,3/1/2022 11:15,4,4,0,0,1,131,8098,939
CC Risk 1,3/1/2022 11:15,18,17,0,0,5,601,11163,954
CC Risk 1,3/1/2022 11:15,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 11:15,1,1,0,0,0,0,201,111
CC Risk 1,3/1/2022 11:15,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 11:15,7,7,0,0,2,1075,3403,261
CC Risk 1,3/1/2022 11:15,19,19,0,0,2,815,19272,1585
CC Risk 1,3/1/2022 11:15,0,0,0,0,0,0,0,175
CC Risk 1,3/1/2022 11:15,0,0,0,0,0,0,0,4
CC Risk 1,3/1/2022 11:15,1,1,0,0,0,0,298,0
CC Risk 1,3/1/2022 11:15,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 11:15,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 11:30,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 11:30,3,3,0,0,0,0,1305,102
CC Risk 1,3/1/2022 11:30,22,22,0,0,6,1654,17645,2060
CC Risk 1,3/1/2022 11:30,2,2,0,0,0,0,571,7
CC Risk 1,3/1/2022 11:30,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 11:30,6,6,0,0,3,317,4237,475
CC Risk 1,3/1/2022 11:30,1,1,0,0,0,0,100,0
CC Risk 1,3/1/2022 11:30,9,10,0,0,3,558,12983,1678
CC Risk 1,3/1/2022 11:30,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 11:30,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 11:30,1,1,0,0,0,0,121,199
CC Risk 1,3/1/2022 11:30,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 11:30,5,5,0,0,3,272,5922,578
CC Risk 1,3/1/2022 11:45,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 11:45,0,0,0,0,0,0,900,5
CC Risk 1,3/1/2022 11:45,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 11:45,6,6,0,0,1,90,6684,946
CC Risk 1,3/1/2022 11:45,19,19,0,0,7,1501,14065,1441
CC Risk 1,3/1/2022 11:45,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 11:45,1,1,0,0,0,0,209,100
CC Risk 1,3/1/2022 11:45,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 11:45,7,6,1,0,1,304,4985,784
CC Risk 1,3/1/2022 11:45,31,31,0,0,5,1106,19573,2537
CC Risk 1,3/1/2022 11:45,4,4,0,0,0,0,2659,6
CC Risk 1,3/1/2022 11:45,0,0,0,0,0,0,42,219
CC Risk 1,3/1/2022 11:45,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 12:00,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 12:00,4,4,0,0,2,132,584,123
CC Risk 1,3/1/2022 12:00,1,1,0,0,0,0,861,0
CC Risk 1,3/1/2022 12:00,21,21,0,0,2,161,21369,1532
CC Risk 1,3/1/2022 12:00,4,4,0,0,2,190,3192,236
CC Risk 1,3/1/2022 12:00,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 12:00,4,4,0,0,1,3,3998,980
CC Risk 1,3/1/2022 12:00,3,3,0,0,0,0,779,170
CC Risk 1,3/1/2022 12:00,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 12:00,20,20,0,0,2,562,15623,2296
CC Risk 1,3/1/2022 12:00,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 12:00,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 12:00,0,0,0,0,1,30,444,123
CC Risk 1,3/1/2022 12:00,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 12:00,5,5,0,0,0,0,5132,496
CC Risk 1,3/1/2022 12:15,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 12:15,7,7,0,0,0,76,5283,816
CC Risk 1,3/1/2022 12:15,21,21,0,0,5,1038,16128,1693
CC Risk 1,3/1/2022 12:15,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 12:15,0,0,0,0,2,31,1800,11
CC Risk 1,3/1/2022 12:15,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 12:15,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 12:15,1,1,0,0,1,110,1506,471
CC Risk 1,3/1/2022 12:15,22,22,0,0,3,512,16399,2228
CC Risk 1,3/1/2022 12:15,4,4,0,0,1,57,3121,245
CC Risk 1,3/1/2022 12:15,2,2,0,0,0,315,1741,88
CC Risk 1,3/1/2022 12:15,1,1,0,0,0,0,669,147
CC Risk 1,3/1/2022 12:15,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 12:30,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 12:30,4,4,0,0,0,0,1639,366
CC Risk 1,3/1/2022 12:30,19,19,0,0,5,1260,21169,1460
CC Risk 1,3/1/2022 12:30,4,4,0,0,0,0,2456,1115
CC Risk 1,3/1/2022 12:30,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 12:30,3,3,0,0,0,0,918,223
CC Risk 1,3/1/2022 12:30,1,1,0,0,0,0,854,0
CC Risk 1,3/1/2022 12:30,0,0,0,0,0,345,909,158
CC Risk 1,3/1/2022 12:30,17,17,0,0,3,1087,15287,2152
CC Risk 1,3/1/2022 12:30,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 12:30,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 12:30,2,2,0,0,0,0,4275,1064
CC Risk 1,3/1/2022 12:45,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 12:45,1,1,0,0,0,0,197,0
CC Risk 1,3/1/2022 12:45,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 12:45,5,5,0,0,1,90,2972,210
CC Risk 1,3/1/2022 12:45,20,19,1,0,6,771,17180,1914
CC Risk 1,3/1/2022 12:45,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 12:45,3,3,0,0,0,0,1265,52
CC Risk 1,3/1/2022 12:45,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 12:45,9,9,0,0,3,219,3729,450
CC Risk 1,3/1/2022 12:45,0,0,0,0,0,0,304,114
CC Risk 1,3/1/2022 12:45,20,20,0,0,3,261,20305,1382
CC Risk 1,3/1/2022 12:45,1,1,0,0,0,0,1757,6
CC Risk 1,3/1/2022 12:45,1,1,0,0,0,0,955,184
CC Risk 1,3/1/2022 12:45,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 13:00,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 13:00,0,0,0,0,0,0,0,14
CC Risk 1,3/1/2022 13:00,1,1,0,0,0,0,4,0
CC Risk 1,3/1/2022 13:00,1,1,0,0,0,0,81,0
CC Risk 1,3/1/2022 13:00,21,20,1,0,4,697,17435,2074
CC Risk 1,3/1/2022 13:00,1,1,0,0,0,0,1470,261
CC Risk 1,3/1/2022 13:00,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 13:00,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 13:00,5,5,0,0,0,0,5555,735
CC Risk 1,3/1/2022 13:00,1,1,0,0,0,0,27,0
CC Risk 1,3/1/2022 13:00,1,1,0,0,1,6,13,0
CC Risk 1,3/1/2022 13:00,0,0,0,0,0,0,298,45
CC Risk 1,3/1/2022 13:00,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 13:00,18,18,0,0,5,1149,17908,1863
CC Risk 1,3/1/2022 13:00,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 13:00,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 13:00,0,0,0,0,0,0,11,191
CC Risk 1,3/1/2022 13:00,9,9,0,0,1,99,6329,564
CC Risk 1,3/1/2022 13:00,2,2,0,0,0,0,886,85
CC Risk 1,3/1/2022 13:15,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 13:15,1,1,0,0,0,0,126,0
CC Risk 1,3/1/2022 13:15,6,6,0,0,0,97,6798,538
CC Risk 1,3/1/2022 13:15,0,0,0,0,0,0,161,6
CC Risk 1,3/1/2022 13:15,13,13,0,0,3,451,17791,1372
CC Risk 1,3/1/2022 13:15,0,0,0,0,0,0,0,0
