UserId,Date,StatusKey,Code,Min
AVANYUSH,2022-10-26,follow up,Team 1,0.15
AVANYUSH,2022-10-26,on call,Team 1,17.0166666666667
AVANYUSH,2022-10-26,scheduled break,Team 1,16.25
AVANYUSH,2022-10-27,acw,Team 1,9.45
AVANYUSH,2022-10-27,at lunch,Team 1,63.4333333333333
AVANYUSH,2022-10-27,escalation wait,Team 1,2.66666666666667
AVANYUSH,2022-10-27,follow up,Team 1,0.4
AVANYUSH,2022-10-27,on call,Team 1,73.7
AVANYUSH,2022-10-27,scheduled break,Team 1,35.1
AVANYUSH,2022-10-28,acw,Team 1,8.65
AVANYUSH,2022-10-28,at lunch,Team 1,63
AVANYUSH,2022-10-28,escalation wait,Team 1,8.53333333333333
AVANYUSH,2022-10-28,follow up,Team 1,0.733333333333333
AVANYUSH,2022-10-28,on call,Team 1,94.7
AVANYUSH,2022-10-28,personal break,Team 1,6.01666666666667
AVANYUSH,2022-10-28,scheduled break,Team 1,32.6
AVANYUSH,2022-10-29,acw,Team 1,3.28333333333333
AVANYUSH,2022-10-29,at lunch,Team 1,62.1166666666667
AVANYUSH,2022-10-29,escalation wait,Team 1,9.46666666666667
AVANYUSH,2022-10-29,follow up,Team 1,0.35
AVANYUSH,2022-10-29,on call,Team 1,56.3333333333333
AVANYUSH,2022-10-29,scheduled break,Team 1,32.1333333333333
AVANYUSH,2022-10-30,at lunch,Team 1,62.6666666666667
AVANYUSH,2022-10-30,follow up,Team 1,0.1
AVANYUSH,2022-10-30,on call,Team 1,0.633333333333333
AVANYUSH,2022-10-30,scheduled break,Team 1,15.2833333333333
AVANYUSH,2022-11-02,acw,Team 1,1.8
AVANYUSH,2022-11-02,follow up,Team 1,0.366666666666667
AVANYUSH,2022-11-02,on call,Team 1,12.2333333333333
AVANYUSH,2022-11-02,scheduled break,Team 1,16.9833333333333
AVANYUSH,2022-11-03,acw,Team 1,4.73333333333333
AVANYUSH,2022-11-03,at lunch,Team 1,60.6333333333333
AVANYUSH,2022-11-03,escalation wait,Team 1,15.2833333333333
AVANYUSH,2022-11-03,follow up,Team 1,0.8
AVANYUSH,2022-11-03,on call,Team 1,48.5833333333333
AVANYUSH,2022-11-03,scheduled break,Team 1,35.2166666666667
AVANYUSH,2022-11-04,acw,Team 1,4.73333333333333
AVANYUSH,2022-11-04,at lunch,Team 1,62.75
AVANYUSH,2022-11-04,follow up,Team 1,0.333333333333333
AVANYUSH,2022-11-04,on call,Team 1,53.05
AVANYUSH,2022-11-04,personal break,Team 1,18.0333333333333
AVANYUSH,2022-11-04,scheduled break,Team 1,31.55
AVANYUSH,2022-11-05,at lunch,Team 1,62.9333333333333
AVANYUSH,2022-11-05,follow up,Team 1,0.0666666666666667
AVANYUSH,2022-11-05,on call,Team 1,0.666666666666667
