UserId,Date,StatusKey,Code,Min,Code2
AVANYUSH,2022-10-16,follow up,ATL Ops Sup 5,0.133333333333333,Team 1
AVANYUSH,2022-10-16,on call,ATL Ops Sup 5,10.2833333333333,Team 1
AVANYUSH,2022-10-16,scheduled break,ATL Ops Sup 5,25.8333333333333,Team 1
AVANYUSH,2022-10-20,acw,ATL Ops Sup 5,1.65,Team 1
AVANYUSH,2022-10-20,follow up,ATL Ops Sup 5,0.1,Team 1
AVANYUSH,2022-10-20,on call,ATL Ops Sup 5,13.2666666666667,Team 1
AVANYUSH,2022-10-20,scheduled break,ATL Ops Sup 5,17.3333333333333,Team 1
AVANYUSH,2022-10-21,acw,ATL Ops Sup 5,2.71666666666667,Team 1
AVANYUSH,2022-10-21,at lunch,ATL Ops Sup 5,64.8833333333333,Team 1
AVANYUSH,2022-10-21,escalation wait,ATL Ops Sup 5,8.73333333333333,Team 1
AVANYUSH,2022-10-21,follow up,ATL Ops Sup 5,0.233333333333333,Team 1
AVANYUSH,2022-10-21,on call,ATL Ops Sup 5,53.4833333333333,Team 1
AVANYUSH,2022-10-21,scheduled break,ATL Ops Sup 5,34.1166666666667,Team 1
AVANYUSH,2022-10-22,acw,ATL Ops Sup 5,16.0333333333333,Team 1
AVANYUSH,2022-10-22,at lunch,ATL Ops Sup 5,61.4333333333333,Team 1
AVANYUSH,2022-10-22,escalation wait,ATL Ops Sup 5,8.85,Team 1
AVANYUSH,2022-10-22,follow up,ATL Ops Sup 5,0.533333333333333,Team 1
AVANYUSH,2022-10-22,on call,ATL Ops Sup 5,144.183333333333,Team 1
AVANYUSH,2022-10-22,scheduled break,ATL Ops Sup 5,34.4666666666667,Team 1
AVANYUSH,2022-10-23,acw,ATL Ops Sup 5,1.1,Team 1
AVANYUSH,2022-10-23,at lunch,ATL Ops Sup 5,64.2,Team 1
AVANYUSH,2022-10-23,follow up,ATL Ops Sup 5,0.0333333333333333,Team 1
AVANYUSH,2022-10-23,on call,ATL Ops Sup 5,18.3,Team 1
AVANYUSH,2022-10-23,scheduled break,ATL Ops Sup 5,15.1333333333333,Team 1
AVANYUSH,2022-10-26,acw,ATL Ops Sup 5,1.25,Team 1
AVANYUSH,2022-10-26,follow up,ATL Ops Sup 5,0.15,Team 1
AVANYUSH,2022-10-26,on call,ATL Ops Sup 5,17.0166666666667,Team 1
AVANYUSH,2022-10-26,scheduled break,ATL Ops Sup 5,16.25,Team 1
AVANYUSH,2022-10-27,acw,ATL Ops Sup 5,9.45,Team 1
AVANYUSH,2022-10-27,at lunch,ATL Ops Sup 5,63.4333333333333,Team 1
AVANYUSH,2022-10-27,escalation wait,ATL Ops Sup 5,2.66666666666667,Team 1
AVANYUSH,2022-10-27,follow up,ATL Ops Sup 5,0.4,Team 1
AVANYUSH,2022-10-27,on call,ATL Ops Sup 5,73.7,Team 1
AVANYUSH,2022-10-27,scheduled break,ATL Ops Sup 5,35.1,Team 1
AVANYUSH,2022-10-28,acw,ATL Ops Sup 5,8.65,Team 1
AVANYUSH,2022-10-28,at lunch,ATL Ops Sup 5,63,Team 1
AVANYUSH,2022-10-28,escalation wait,ATL Ops Sup 5,8.53333333333333,Team 1
